Solution of SHM
Step Size = .0100 Euler Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.010000	1.000000	-0.040000	-0.000200	0.000003
0.020000	0.999600	-0.080000	-0.000400	0.000021
0.030000	0.998800	-0.119984	-0.000599	0.000056
0.040000	0.997600	-0.159936	-0.000798	0.000107
0.050000	0.996001	-0.199840	-0.000997	0.000173
0.060000	0.994002	-0.239680	-0.001194	0.000256
0.070000	0.991606	-0.279440	-0.001390	0.000354
0.080000	0.988811	-0.319104	-0.001584	0.000468
0.090000	0.985620	-0.358657	-0.001776	0.000598
0.100000	0.982033	-0.398082	-0.001967	0.000743
0.110000	0.978053	-0.437363	-0.002155	0.000904
0.120000	0.973679	-0.476485	-0.002341	0.001080
0.130000	0.968914	-0.515432	-0.002524	0.001271
0.140000	0.963760	-0.554189	-0.002704	0.001477
0.150000	0.958218	-0.592739	-0.002882	0.001699
0.160000	0.952291	-0.631068	-0.003055	0.001935
0.170000	0.945980	-0.669159	-0.003225	0.002185
0.180000	0.939288	-0.706999	-0.003392	0.002450
0.190000	0.932218	-0.744570	-0.003554	0.002729
0.200000	0.924773	-0.781859	-0.003712	0.003022
0.210000	0.916954	-0.818850	-0.003865	0.003329
0.220000	0.908766	-0.855528	-0.004014	0.003649
0.230000	0.900210	-0.891878	-0.004158	0.003982
0.240000	0.891292	-0.927887	-0.004297	0.004329
0.250000	0.882013	-0.963539	-0.004430	0.004688
0.260000	0.872377	-0.998819	-0.004558	0.005059
0.270000	0.862389	-1.033714	-0.004680	0.005442
0.280000	0.852052	-1.068210	-0.004797	0.005837
0.290000	0.841370	-1.102292	-0.004907	0.006244
0.300000	0.830347	-1.135947	-0.005011	0.006662
0.310000	0.818987	-1.169160	-0.005109	0.007090
0.320000	0.807296	-1.201920	-0.005200	0.007529
0.330000	0.795277	-1.234212	-0.005284	0.007978
0.340000	0.782935	-1.266023	-0.005362	0.008437
0.350000	0.770274	-1.297340	-0.005432	0.008905
0.360000	0.757301	-1.328151	-0.005495	0.009382
0.370000	0.744019	-1.358443	-0.005551	0.009868
0.380000	0.730435	-1.388204	-0.005599	0.010361
0.390000	0.716553	-1.417421	-0.005639	0.010863
0.400000	0.702379	-1.446084	-0.005672	0.011371
0.410000	0.687918	-1.474179	-0.005697	0.011887
