Solution of SHM
Step Size = .0010 Euler Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.001000	1.000000	-0.004000	-0.000002	0.000000
0.002000	0.999996	-0.008000	-0.000004	0.000000
0.003000	0.999988	-0.012000	-0.000006	0.000000
0.004000	0.999976	-0.016000	-0.000008	0.000000
0.005000	0.999960	-0.020000	-0.000010	0.000000
0.006000	0.999940	-0.024000	-0.000012	0.000000
0.007000	0.999916	-0.027999	-0.000014	0.000000
0.008000	0.999888	-0.031999	-0.000016	0.000000
0.009000	0.999856	-0.035999	-0.000018	0.000001
0.010000	0.999820	-0.039998	-0.000020	0.000001
0.011000	0.999780	-0.043997	-0.000022	0.000001
0.012000	0.999736	-0.047996	-0.000024	0.000001
0.013000	0.999688	-0.051995	-0.000026	0.000001
0.014000	0.999636	-0.055994	-0.000028	0.000001
0.015000	0.999580	-0.059993	-0.000030	0.000002
0.016000	0.999520	-0.063991	-0.000032	0.000002
0.017000	0.999456	-0.067989	-0.000034	0.000002
0.018000	0.999388	-0.071987	-0.000036	0.000002
0.019000	0.999316	-0.075985	-0.000038	0.000003
0.020000	0.999240	-0.079982	-0.000040	0.000003
0.021000	0.999160	-0.083979	-0.000042	0.000003
0.022000	0.999076	-0.087975	-0.000044	0.000004
0.023000	0.998988	-0.091972	-0.000046	0.000004
0.024000	0.998896	-0.095968	-0.000048	0.000004
0.025000	0.998800	-0.099963	-0.000050	0.000005
0.026000	0.998700	-0.103958	-0.000052	0.000005
0.027000	0.998596	-0.107953	-0.000054	0.000006
0.028000	0.998488	-0.111948	-0.000056	0.000006
0.029000	0.998376	-0.115942	-0.000058	0.000007
0.030000	0.998260	-0.119935	-0.000060	0.000007
0.031000	0.998141	-0.123928	-0.000062	0.000008
0.032000	0.998017	-0.127921	-0.000064	0.000008
0.033000	0.997889	-0.131913	-0.000066	0.000009
0.034000	0.997757	-0.135904	-0.000068	0.000009
0.035000	0.997621	-0.139895	-0.000070	0.000010
0.036000	0.997481	-0.143886	-0.000072	0.000010
0.037000	0.997337	-0.147876	-0.000074	0.000011
0.038000	0.997189	-0.151865	-0.000076	0.000011
0.039000	0.997037	-0.155854	-0.000078	0.000012
0.040000	0.996881	-0.159842	-0.000080	0.000013
0.041000	0.996722	-0.163829	-0.000082	0.000013
0.042000	0.996558	-0.167816	-0.000084	0.000014
0.043000	0.996390	-0.171803	-0.000086	0.000015
0.044000	0.996218	-0.175788	-0.000088	0.000015
0.045000	0.996042	-0.179773	-0.000090	0.000016
0.046000	0.995863	-0.183757	-0.000092	0.000017
0.047000	0.995679	-0.187741	-0.000094	0.000017
0.048000	0.995491	-0.191723	-0.000096	0.000018
0.049000	0.995299	-0.195705	-0.000098	0.000019
0.050000	0.995104	-0.199687	-0.000100	0.000020
0.051000	0.994904	-0.203667	-0.000102	0.000020
0.052000	0.994700	-0.207647	-0.000103	0.000021
0.053000	0.994493	-0.211625	-0.000105	0.000022
0.054000	0.994281	-0.215603	-0.000107	0.000023
0.055000	0.994066	-0.219580	-0.000109	0.000024
0.056000	0.993846	-0.223557	-0.000111	0.000025
0.057000	0.993622	-0.227532	-0.000113	0.000026
0.058000	0.993395	-0.231507	-0.000115	0.000027
0.059000	0.993163	-0.235480	-0.000117	0.000027
0.060000	0.992928	-0.239453	-0.000119	0.000028
0.061000	0.992688	-0.243425	-0.000121	0.000029
0.062000	0.992445	-0.247395	-0.000123	0.000030
0.063000	0.992198	-0.251365	-0.000125	0.000031
0.064000	0.991946	-0.255334	-0.000127	0.000032
0.065000	0.991691	-0.259302	-0.000129	0.000033
0.066000	0.991432	-0.263268	-0.000131	0.000034
0.067000	0.991168	-0.267234	-0.000133	0.000035
0.068000	0.990901	-0.271199	-0.000135	0.000037
0.069000	0.990630	-0.275162	-0.000137	0.000038
0.070000	0.990355	-0.279125	-0.000139	0.000039
0.071000	0.990076	-0.283086	-0.000141	0.000040
0.072000	0.989793	-0.287047	-0.000143	0.000041
0.073000	0.989506	-0.291006	-0.000145	0.000042
0.074000	0.989215	-0.294964	-0.000147	0.000043
0.075000	0.988920	-0.298921	-0.000148	0.000044
0.076000	0.988621	-0.302876	-0.000150	0.000046
0.077000	0.988318	-0.306831	-0.000152	0.000047
0.078000	0.988011	-0.310784	-0.000154	0.000048
0.079000	0.987700	-0.314736	-0.000156	0.000049
0.080000	0.987385	-0.318687	-0.000158	0.000051
0.081000	0.987067	-0.322637	-0.000160	0.000052
0.082000	0.986744	-0.326585	-0.000162	0.000053
0.083000	0.986418	-0.330532	-0.000164	0.000054
0.084000	0.986087	-0.334477	-0.000166	0.000056
0.085000	0.985753	-0.338422	-0.000168	0.000057
0.086000	0.985414	-0.342365	-0.000170	0.000058
0.087000	0.985072	-0.346306	-0.000172	0.000060
0.088000	0.984725	-0.350247	-0.000173	0.000061
0.089000	0.984375	-0.354186	-0.000175	0.000063
0.090000	0.984021	-0.358123	-0.000177	0.000064
0.091000	0.983663	-0.362059	-0.000179	0.000065
0.092000	0.983301	-0.365994	-0.000181	0.000067
0.093000	0.982935	-0.369927	-0.000183	0.000068
0.094000	0.982565	-0.373859	-0.000185	0.000070
0.095000	0.982191	-0.377789	-0.000187	0.000071
0.096000	0.981813	-0.381718	-0.000189	0.000073
0.097000	0.981432	-0.385645	-0.000191	0.000074
0.098000	0.981046	-0.389571	-0.000193	0.000076
0.099000	0.980656	-0.393495	-0.000194	0.000077
0.100000	0.980263	-0.397418	-0.000196	0.000079
0.101000	0.979865	-0.401339	-0.000198	0.000081
0.102000	0.979464	-0.405258	-0.000200	0.000082
0.103000	0.979059	-0.409176	-0.000202	0.000084
0.104000	0.978650	-0.413092	-0.000204	0.000085
0.105000	0.978237	-0.417007	-0.000206	0.000087
0.106000	0.977820	-0.420920	-0.000208	0.000089
0.107000	0.977399	-0.424831	-0.000209	0.000090
0.108000	0.976974	-0.428741	-0.000211	0.000092
0.109000	0.976545	-0.432649	-0.000213	0.000094
0.110000	0.976112	-0.436555	-0.000215	0.000095
0.111000	0.975676	-0.440459	-0.000217	0.000097
0.112000	0.975235	-0.444362	-0.000219	0.000099
0.113000	0.974791	-0.448263	-0.000221	0.000101
0.114000	0.974343	-0.452162	-0.000222	0.000103
0.115000	0.973891	-0.456059	-0.000224	0.000104
0.116000	0.973435	-0.459955	-0.000226	0.000106
0.117000	0.972975	-0.463849	-0.000228	0.000108
0.118000	0.972511	-0.467741	-0.000230	0.000110
0.119000	0.972043	-0.471631	-0.000232	0.000112
0.120000	0.971571	-0.475519	-0.000233	0.000113
0.121000	0.971096	-0.479405	-0.000235	0.000115
0.122000	0.970617	-0.483289	-0.000237	0.000117
0.123000	0.970133	-0.487172	-0.000239	0.000119
0.124000	0.969646	-0.491052	-0.000241	0.000121
0.125000	0.969155	-0.494931	-0.000243	0.000123
0.126000	0.968660	-0.498808	-0.000244	0.000125
0.127000	0.968161	-0.502682	-0.000246	0.000127
0.128000	0.967659	-0.506555	-0.000248	0.000129
0.129000	0.967152	-0.510426	-0.000250	0.000131
0.130000	0.966642	-0.514294	-0.000252	0.000133
0.131000	0.966127	-0.518161	-0.000253	0.000135
0.132000	0.965609	-0.522025	-0.000255	0.000137
0.133000	0.965087	-0.525888	-0.000257	0.000139
0.134000	0.964561	-0.529748	-0.000259	0.000141
0.135000	0.964031	-0.533606	-0.000261	0.000143
0.136000	0.963498	-0.537462	-0.000262	0.000145
0.137000	0.962960	-0.541316	-0.000264	0.000148
0.138000	0.962419	-0.545168	-0.000266	0.000150
