Solution of SHM
Step Size = .0050 Euler Method
Time	y	v	Δy	Δv
0.510000	0.526071	-1.712894	-0.002705	0.008678
0.515000	0.517507	-1.723415	-0.002688	0.008817
0.520000	0.508889	-1.733765	-0.002669	0.008957
0.525000	0.500221	-1.743943	-0.002650	0.009096
0.530000	0.491501	-1.753947	-0.002629	0.009236
0.535000	0.482731	-1.763777	-0.002607	0.009376
0.540000	0.473912	-1.773432	-0.002584	0.009516
0.545000	0.465045	-1.782910	-0.002560	0.009656
0.550000	0.456131	-1.792211	-0.002534	0.009796
0.555000	0.447170	-1.801334	-0.002508	0.009936
0.560000	0.438163	-1.810277	-0.002480	0.010076
0.565000	0.429111	-1.819040	-0.002452	0.010216
0.570000	0.420016	-1.827623	-0.002422	0.010356
0.575000	0.410878	-1.836023	-0.002391	0.010495
0.580000	0.401698	-1.844241	-0.002358	0.010634
0.585000	0.392477	-1.852275	-0.002325	0.010773
0.590000	0.383215	-1.860124	-0.002291	0.010912
0.595000	0.373915	-1.867788	-0.002255	0.011051
0.600000	0.364576	-1.875267	-0.002218	0.011189
0.605000	0.355200	-1.882558	-0.002180	0.011326
0.610000	0.345787	-1.889662	-0.002141	0.011464
0.615000	0.336338	-1.896578	-0.002101	0.011600
0.620000	0.326856	-1.903305	-0.002059	0.011737
0.625000	0.317339	-1.909842	-0.002017	0.011873
0.630000	0.307790	-1.916189	-0.001973	0.012008
0.635000	0.298209	-1.922345	-0.001928	0.012143
0.640000	0.288597	-1.928309	-0.001882	0.012277
0.645000	0.278956	-1.934081	-0.001835	0.012411
0.650000	0.269285	-1.939660	-0.001786	0.012543
0.655000	0.259587	-1.945046	-0.001737	0.012676
0.660000	0.249862	-1.950237	-0.001686	0.012807
0.665000	0.240111	-1.955235	-0.001634	0.012938
0.670000	0.230334	-1.960037	-0.001581	0.013068
0.675000	0.220534	-1.964643	-0.001527	0.013197
0.680000	0.210711	-1.969054	-0.001472	0.013325
0.685000	0.200866	-1.973268	-0.001416	0.013452
0.690000	0.190999	-1.977286	-0.001358	0.013579
0.695000	0.181113	-1.981106	-0.001300	0.013704
0.700000	0.171207	-1.984728	-0.001240	0.013828
0.705000	0.161284	-1.988152	-0.001179	0.013952
0.710000	0.151343	-1.991378	-0.001117	0.014074
0.715000	0.141386	-1.994405	-0.001054	0.014195
0.720000	0.131414	-1.997232	-0.000990	0.014316
0.725000	0.121428	-1.999861	-0.000925	0.014435
0.730000	0.111429	-2.002289	-0.000859	0.014553
0.735000	0.101417	-2.004518	-0.000791	0.014669
0.740000	0.091395	-2.006546	-0.000723	0.014784
0.745000	0.081362	-2.008374	-0.000653	0.014898
0.750000	0.071320	-2.010001	-0.000583	0.015011
0.755000	0.061270	-2.011428	-0.000511	0.015123
0.760000	0.051213	-2.012653	-0.000438	0.015233
0.765000	0.041150	-2.013677	-0.000365	0.015341
0.770000	0.031081	-2.014500	-0.000290	0.015449
0.775000	0.021009	-2.015122	-0.000214	0.015554
0.780000	0.010933	-2.015542	-0.000137	0.015659
0.785000	0.000855	-2.015761	-0.000059	0.015761
0.790000	-0.009223	-2.015778	0.000020	0.015863
0.795000	-0.019302	-2.015593	0.000100	0.015962
0.800000	-0.029380	-2.015207	0.000181	0.016060
0.805000	-0.039456	-2.014620	0.000263	0.016156
0.810000	-0.049529	-2.013830	0.000346	0.016251
0.815000	-0.059599	-2.012840	0.000430	0.016344
0.820000	-0.069663	-2.011648	0.000514	0.016435
0.825000	-0.079721	-2.010255	0.000600	0.016525
0.830000	-0.089772	-2.008660	0.000687	0.016612
0.835000	-0.099816	-2.006865	0.000775	0.016698
0.840000	-0.109850	-2.004869	0.000863	0.016782
0.845000	-0.119874	-2.002671	0.000953	0.016864
0.850000	-0.129888	-2.000274	0.001043	0.016944
0.855000	-0.139889	-1.997676	0.001135	0.017022
0.860000	-0.149877	-1.994878	0.001227	0.017099
0.865000	-0.159852	-1.991881	0.001320	0.017173
0.870000	-0.169811	-1.988684	0.001414	0.017245
0.875000	-0.179755	-1.985288	0.001509	0.017316
0.880000	-0.189681	-1.981692	0.001604	0.017384
0.885000	-0.199590	-1.977899	0.001701	0.017450
0.890000	-0.209479	-1.973907	0.001798	0.017514
0.895000	-0.219349	-1.969717	0.001896	0.017576
0.900000	-0.229197	-1.965330	0.001995	0.017635
0.905000	-0.239024	-1.960746	0.002095	0.017692
0.910000	-0.248827	-1.955966	0.002195	0.017748
0.915000	-0.258607	-1.950989	0.002296	0.017801
0.920000	-0.268362	-1.945817	0.002398	0.017851
0.925000	-0.278091	-1.940450	0.002501	0.017899
0.930000	-0.287794	-1.934888	0.002605	0.017946
0.935000	-0.297468	-1.929132	0.002709	0.017989
0.940000	-0.307114	-1.923183	0.002814	0.018030
0.945000	-0.316730	-1.917041	0.002919	0.018069
0.950000	-0.326315	-1.910706	0.003025	0.018106
0.955000	-0.335868	-1.904180	0.003132	0.018140
0.960000	-0.345389	-1.897462	0.003240	0.018171
0.965000	-0.354877	-1.890555	0.003348	0.018200
0.970000	-0.364329	-1.883457	0.003456	0.018227
0.975000	-0.373747	-1.876171	0.003566	0.018251
0.980000	-0.383127	-1.868696	0.003676	0.018273
0.985000	-0.392471	-1.861033	0.003786	0.018291
0.990000	-0.401776	-1.853184	0.003897	0.018308
0.995000	-0.411042	-1.845148	0.004009	0.018321
1.000000	-0.420268	-1.836927	0.004121	0.018332
1.005000	-0.429452	-1.828522	0.004234	0.018341
1.010000	-0.438595	-1.819933	0.004347	0.018347
1.015000	-0.447695	-1.811161	0.004460	0.018350
1.020000	-0.456750	-1.802207	0.004574	0.018350
1.025000	-0.465761	-1.793072	0.004689	0.018347
1.030000	-0.474727	-1.783757	0.004804	0.018342
1.035000	-0.483646	-1.774262	0.004919	0.018334
1.040000	-0.492517	-1.764589	0.005035	0.018323
1.045000	-0.501340	-1.754739	0.005151	0.018310
1.050000	-0.510114	-1.744712	0.005268	0.018293
1.055000	-0.518837	-1.734510	0.005384	0.018274
1.060000	-0.527510	-1.724133	0.005502	0.018252
1.065000	-0.536130	-1.713583	0.005619	0.018227
1.070000	-0.544698	-1.702860	0.005737	0.018199
1.075000	-0.553213	-1.691967	0.005855	0.018169
1.080000	-0.561672	-1.680902	0.005973	0.018135
1.085000	-0.570077	-1.669669	0.006092	0.018099
1.090000	-0.578425	-1.658267	0.006211	0.018059
1.095000	-0.586717	-1.646699	0.006330	0.018017
1.100000	-0.594950	-1.634964	0.006449	0.017972
1.105000	-0.603125	-1.623065	0.006568	0.017923
1.110000	-0.611240	-1.611003	0.006688	0.017872
1.115000	-0.619295	-1.598778	0.006808	0.017818
1.120000	-0.627289	-1.586392	0.006928	0.017760
1.125000	-0.635221	-1.573846	0.007048	0.017700
1.130000	-0.643090	-1.561142	0.007168	0.017637
1.135000	-0.650896	-1.548280	0.007288	0.017570
1.140000	-0.658637	-1.535262	0.007408	0.017501
1.145000	-0.666314	-1.522089	0.007528	0.017428
1.150000	-0.673924	-1.508763	0.007648	0.017353
1.155000	-0.681468	-1.495285	0.007768	0.017274
1.160000	-0.688944	-1.481655	0.007889	0.017192
1.165000	-0.696353	-1.467876	0.008009	0.017107
1.170000	-0.703692	-1.453949	0.008129	0.017020
1.175000	-0.710962	-1.439875	0.008249	0.016929
1.180000	-0.718161	-1.425656	0.008369	0.016834
1.185000	-0.725290	-1.411293	0.008489	0.016737
1.190000	-0.732346	-1.396787	0.008608	0.016637
1.195000	-0.739330	-1.382140	0.008728	0.016534
1.200000	-0.746241	-1.367354	0.008847	0.016427
1.205000	-0.753077	-1.352429	0.008966	0.016317
1.210000	-0.759840	-1.337367	0.009085	0.016205
1.215000	-0.766526	-1.322171	0.009204	0.016089
1.220000	-0.773137	-1.306840	0.009322	0.015970
1.225000	-0.779671	-1.291377	0.009440	0.015848
1.230000	-0.786128	-1.275784	0.009558	0.015723
1.235000	-0.792507	-1.260061	0.009676	0.015594
1.240000	-0.798808	-1.244211	0.009793	0.015463
1.245000	-0.805029	-1.228235	0.009910	0.015328
1.250000	-0.811170	-1.212134	0.010026	0.015190
1.255000	-0.817231	-1.195911	0.010142	0.015049
1.260000	-0.823210	-1.179566	0.010258	0.014905
1.265000	-0.829108	-1.163102	0.010373	0.014758
1.270000	-0.834923	-1.146520	0.010488	0.014607
1.275000	-0.840656	-1.129822	0.010603	0.014454
1.280000	-0.846305	-1.113008	0.010716	0.014297
1.285000	-0.851870	-1.096082	0.010830	0.014138
1.290000	-0.857351	-1.079045	0.010943	0.013975
1.295000	-0.862746	-1.061898	0.011055	0.013809
1.300000	-0.868055	-1.044643	0.011167	0.013640
1.305000	-0.873278	-1.027282	0.011278	0.013468
1.310000	-0.878415	-1.009816	0.011388	0.013293
1.315000	-0.883464	-0.992248	0.011498	0.013114
1.320000	-0.888425	-0.974579	0.011607	0.012933
1.325000	-0.893298	-0.956810	0.011716	0.012749
1.330000	-0.898082	-0.938944	0.011824	0.012561
1.335000	-0.902777	-0.920983	0.011931	0.012371
1.340000	-0.907382	-0.902927	0.012038	0.012177
1.345000	-0.911897	-0.884779	0.012143	0.011981
1.350000	-0.916320	-0.866541	0.012248	0.011782
1.355000	-0.920653	-0.848215	0.012352	0.011579
1.360000	-0.924894	-0.829802	0.012456	0.011374
1.365000	-0.929043	-0.811304	0.012558	0.011165
1.370000	-0.933100	-0.792723	0.012660	0.010954
1.375000	-0.937063	-0.774061	0.012761	0.010739
1.380000	-0.940934	-0.755320	0.012861	0.010522
1.385000	-0.944710	-0.736501	0.012960	0.010302
1.390000	-0.948393	-0.717607	0.013058	0.010078
1.395000	-0.951981	-0.698639	0.013155	0.009852
1.400000	-0.955474	-0.679600	0.013252	0.009623
1.405000	-0.958872	-0.660490	0.013347	0.009391
1.410000	-0.962174	-0.641313	0.013441	0.009157
