Solution of SHM
Step Size = .1000 RK4 Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.100000	0.980067	-0.397333	-0.000000	-0.000005
0.200000	0.921062	-0.778826	-0.000001	-0.000010
0.300000	0.825339	-1.129271	-0.000003	-0.000014
0.400000	0.696713	-1.434695	-0.000006	-0.000017
0.500000	0.540312	-1.682924	-0.000010	-0.000018
0.600000	0.362371	-1.864062	-0.000014	-0.000016
0.700000	0.169985	-1.970887	-0.000017	-0.000012
0.800000	-0.029179	-1.999141	-0.000021	-0.000006
0.900000	-0.227178	-1.947698	-0.000024	0.000003
1.000000	-0.416121	-1.818609	-0.000026	0.000014
1.100000	-0.588475	-1.617019	-0.000026	0.000026
1.200000	-0.737369	-1.350966	-0.000025	0.000039
1.300000	-0.856866	-1.031055	-0.000023	0.000053
1.400000	-0.942204	-0.670041	-0.000018	0.000065
1.500000	-0.989980	-0.282316	-0.000012	0.000076
1.600000	-0.998290	0.116664	-0.000005	0.000085
1.700000	-0.966802	0.510992	0.000004	0.000090
1.800000	-0.896772	0.884949	0.000014	0.000092
1.900000	-0.790992	1.223627	0.000024	0.000089
2.000000	-0.653678	1.513523	0.000034	0.000082
2.100000	-0.490304	1.743081	0.000044	0.000070
2.200000	-0.307385	1.903150	0.000052	0.000054
2.300000	-0.112211	1.987348	0.000059	0.000034
2.400000	0.087435	1.992319	0.000064	0.000010
2.500000	0.283596	1.917865	0.000066	-0.000016
2.600000	0.468451	1.766953	0.000066	-0.000044
2.700000	0.634631	1.545600	0.000062	-0.000072
2.800000	0.775510	1.262632	0.000056	-0.000098
2.900000	0.885473	0.929327	0.000047	-0.000123
3.000000	0.960136	0.558975	0.000035	-0.000144
3.100000	0.996522	0.166338	0.000020	-0.000160
3.200000	0.993181	-0.232929	0.000004	-0.000170
3.300000	0.950246	-0.622909	-0.000013	-0.000173
3.400000	0.869429	-0.988057	-0.000031	-0.000170
3.500000	0.753951	-1.313815	-0.000049	-0.000158
3.600000	0.608417	-1.587196	-0.000065	-0.000140
3.700000	0.438627	-1.797302	-0.000080	-0.000114
3.800000	0.251352	-1.935757	-0.000092	-0.000082
3.900000	0.054057	-1.997041	-0.000101	-0.000045
4.000000	-0.145394	-1.978712	-0.000106	-0.000004
4.100000	-0.339048	-1.881500	-0.000107	0.000039
4.200000	-0.519185	-1.709280	-0.000104	0.000083
4.300000	-0.678625	-1.468919	-0.000096	0.000126
4.400000	-0.811010	-1.169999	-0.000083	0.000165
4.500000	-0.911064	-0.824435	-0.000067	0.000198
4.600000	-0.974797	-0.446006	-0.000047	0.000225
4.700000	-0.999669	-0.049796	-0.000024	0.000246
4.800000	-0.984689	0.348399	0.000001	0.000256
4.900000	-0.930453	0.732704	0.000027	0.000255
5.000000	-0.839124	1.087799	0.000053	0.000244
5.100000	-0.714343	1.399527	0.000077	0.000222
5.200000	-0.561084	1.655462	0.000100	0.000191
5.300000	-0.385457	1.845401	0.000119	0.000150
5.400000	-0.194464	1.961771	0.000134	0.000102
5.500000	0.004281	1.999933	0.000144	0.000047
5.600000	0.202856	1.958367	0.000148	-0.000011
5.700000	0.393344	1.838729	0.000148	-0.000072
5.800000	0.568150	1.645788	0.000140	-0.000131
5.900000	0.720307	1.387237	0.000126	-0.000187
6.000000	0.843747	1.073383	0.000107	-0.000237
